A.;
Brissonneau;
Brissonnet;
Bristol;
Britannia;
British;
Briton;
Brixia-Züst;
Broadway;
Brocklands;
Brocklebank;
Brogan;
Brooke;
Brooks;
Brossel;
Brotherhood;
Brough;
Brouhot;
Brown;
Brulé-Ponsard;
Brush;
Brütsch;
Bryan;
BSA;
Buat;
Buc;
Bucciali;
Buchanan;
Buchet;
Buckaroo;
Buckboard;
Buckeye;
Buckingham;
Buckle;
Buckler;
Bufag;
Buffaud;
Bufori;
Bugatti;
Bugetta;
Bugre;
Buick;
Bulgarrenault;
Bullet;
Bully;
Bünger;
Burg;
Burke;
Burlat;
Burney;
Burton;
Bush;
Busson;
Busson-Bazelaire;
Busson-Dedyn;
Butterosi;
Butz;
BYD;
B.Z.;
C;
C.;
Caban;
Cadillac;
Cadix;
Caffort;
Calcott;
Caldwell;
Callaway;
Calthorpe;
Cambier;
Cambro;
Campagna;
Campion;
Canterbury;
Caparo;
Capel;
Car;
Carabela;
Carbodies;
Carbon;
Carden;
Cardi;
Cardin;
Cardway;
Caresto;
Carlette;
Carlton;
Carmel;
Car-Nation;
Caron;
Carrow;
Carter;
Cartercar;
Carteret;
Carville;
Casalini;
Case;
Casimir;
Cassell;
Castle;
Caterham;
Causan;
Cegga;
Ceirano;
Celer;
Celeritas;
Celtic;
Cemsa;
Centaur;
Century;
Certain;
Certus;
César;
CFB;
CFL;
CG;
C.G.V.;
Chaboche;
Chadwick;
Chaigneau-Brasier;
Chainless;
Chalmers;
Chambers;
Chameroy;
Chamonix;
Champion;
Champrobert;
Chandler;
Chang;
Chang’an;
Changhe;
Changhe-Suzuki;
Channon;
Chapeaux;
Chapuis-Dornier;
Charles;
Charlon;
Charron;
Charron-Laycock;
Chatenet;
Chater-Lea;
Chausson;
Checker;
Cheetah;
Chenard;
Chenglong;
Chenu;
Chery;
Cheswold;
Chevallier;
Chevrolet;
Chevron;
Chhabria;
Chic;
Chicago;
Chicagoan;
Chiltern;
China;
Chinkara;
Chiribiri;
Chota;
Christchurch-Campbell;
Christiane;
Christiansen;
Chriton;
Chrysler;
CID;
Cimos;
Cingolani;
CIP;
Cisitalia;
Citeria;
Citicar;
Cito;
Citroën;
City;
Civelli;
Cizeta;
Claeys-Flandria;
Clan;
Clarendon;
Clark;
Classic;
Claude;
Claveau;
CLC;
Clem;
Clement;
Clément;
Clément-Bayard;
Clément-Rochelle;
Clénet;
Clesse;
Cleveland;
Climax;
Climber;
Clipper;
Clúa;
Club;
Cluley;
Clyde;
Clyno;
Coadou;
Coats;
Cobra;
Cochot;
Coda;
Coey;
Cognet;
Cohendet;
Colda;
Cole;
Cole-;iedeman
Colibri;
Colin;
Colliot;
Colombe;
Colt;
Coltman;
Columbia;
Comarth;
Comet;
Cone;
Connaught;
Constantinesco;
Consulier;
Contal;
Continental;
Convair;
Cony;
Cooper;
Copeland;
Corat;
Corbin;
Cord;
Corméry;
Cornilleau;
Cornu;
Corona;
Coronet;
Corre;
Corre-La;
Corre-Le;
Corvette;
Cosmos;
Côte;
Cottereau;
Cottin;
Courier;
Cournil;
Coventry;
Coventry-Premier;
Coventry-Victor;
Covini;
Cowey;
Craig-Dorwald;
Craigievar;
Crampin-Scott;
Crawford;
Crawshay-;illiams
Crayford;
Créanche;
Cree;
Crescent;
Crespelle;
Crestmobile;
Crewford;
Cripps;
Critchley;
Crofton;
Croissant;
Crompton;
Crosley;
Cross;
Crossley;
Crouan;
Crouch;
Crow;
Crowdy;
Crow-Elkhart;
Croxted;
Croxton;
Croxton-Keeton;
CRS;
CSC;
Csonka;
CT&T;
Cubitt;
Cudell;
Cugnot;
Cumbria;
Cummikar;
Cunningham;
Cupelle;
Cushman;
Custer;
CVR;
C;S
Cyclauto;
Cycle;
Cyclops;
Cyklon;
Cyrano;
CZ;
D;
D&A;
Dacia;
Dacon;
Dacunha;
Dadi;
Daewoo;
DAF;
Dagmar;
Dagsa;
Daihatsu;
Daimler;
Daimler-Motoren-Gesellschaft;
Daisy;
Dalgliesh-Gullane;
Dalhousie;
Dalila;
Dallison;
Dana;
Dandong;
Dandy;
Dansk;
Danyang;
D’Aoust;
Darmont;
Darracq;
Darrin;
Dart;
Dasse;
Datsun;
Dauer;
D’Aux;
David;
Davis;
Davrian;
Davy;
Dawson;
Dax;
Day-Leeds;
Dayton;
Daytona;
DCV;
De;
Deasy;
Decauville;
Déchamps;
Deckert;
Deco;
Decolon;
Dedics;
Deemster;
Deep;
Défi;
Deguingand;
Dehn;
Del;
Delacour;
Delage;
Delahaye;
Delamare-Deboutteville;
Delaugère;
Delaunay-Belleville;
Delcar;
Delfín;
Delfino;
Delfosse;
Delin;
Dellow;
Delpeuch;
Delta;
Demeester;
Dennis;
Denzel;
Der;
Derby;
Derek;
Deschamps;
Deshais;
Desmoulines;
DeSoto;
Dessavia;
Detrick;
Detroit;
Detroiter;
Deutsch;
Deutsche;
Deutz;
Devaux;
Devin;
Devrim;
DE;
Dewald;
Dewcar;
De;itt
Dexter;
DFP;
DFR;
Dhumbert;
Diable;
Diablo;
Diabolo;
Diamant;
Diamond;
Diana;
Diatto;
Diavolino;
Díaz;
Dickinson;
Diederichs;
Diehlmobile;
Dietrich;
DIM;
DiMora;
Dinin;
Dino;
Dinos;
DISA;
Diva;
Dixi;
Dixie;
DK;
DK;#NAME?
DL;
DLB;
Doctoresse;
Dodge;
Dodo;
Dodson;
Dogan;
Dolo;
Dolorès;
Dolphin;
Dome;
Dongfeng;
Dongfeng-Honda;
Doninvest;
Donkervoort;
Donnerstag;
Donnet-Zédel;
Doran;
Doray;
Doré;
Dorey;
Dorner;
Dorris;
Dort;
Douglas;
DPL;
dr;
Dragon;
DRB;
DRB-HICOM;
Dri-Sleeve;
Dri.Sleeve;
D.R.K.;
Drummond;
DS-Malterre;
DSPL;
DSR;
DTL;
Du;
Dual-Ghia;
Dubonnet;
Duck;
Ducroiset;
Dudly;
Duesen;
Duesenberg;
Dufaux;
Duhanot;
Dumas;
Dumont;
Dunbar;
Dunkley;
Duo;
Duplex;
Duport;
Dupressoir;
Durant;
Durey-Sohy;
Dürkopp;
Dursley-Pedersen;
Duryea;
Dutton;
Dux;
DV/DT;
D-;agen
Dymaxion;
D’Yrsan;
Eagle;
EAM;
Eastbourne;
E.B.M.;
Ebro;
E.B.S.;
Eclair;
Econom;
Economic;
Econoom;
Ecosse;
Edith;
Edmond;
Edmund;
Edra;
Edsel;
Edwards;
EEC;
Egg;
Egger-Lohner;
Ego;
E.H.P.;
Ehrhardt;
Eibach;
E.I.M.;
Einaudi;
El;
Elan;
ELBO;
Elburn-Ruby;
Elcar;
Elcat;
Eldin;
Electra;
Electra-King;
Electric;
Electrical;
Electricar;
Electriquette;
Electrocar;
Électrolette;
Electro-Master;
Electromobile;
Electromotion;
Électromotion;
Electronic;
Elektromobil;
El-Fay;
Elfe;
Elfin;
Elite;
Elizalde;
Elkhart;
Ellados;
Elmore;
Elpo;
Elswick;
El-Trans;
Elva;
Elysée;
Emerald;
Emeraude;
Emery;
E-M-F;
EMIS;
Emme;
Emms;
Empress;
Emscote;
EM;
Endurance;
Enfield;
Enfield-Allday;
Enfield-Neorion;
Enger;
English;
Enka;
ENV;
Enzmann;
Eole;
Eos;
Epalle;
E.R.A.;
Erco;
Erdmann;
Eric-Campbell;
Eric-Longden;
Ermini;
Erskine;
ESA;
Esculape;
Eshelman;
Espenlaub;
Essex;
Estate;
ESTfield;
Etox;
Etsong;
Eucort;
Eudelin;
Eunos;
Eureka;
Européenne;
Europestar;
Evante;
Evelyn;
e-;OLF
Exagon;
Exau;
Excalibur;
Excelsior;
Exor;
Express;
EYME;
Eysink;
E-Z-Go;
FAB;
Fabbrica;
Fabral;
Facel;
Fadag;
Fafag;
Fafnir;
Fageol;
Fairthorpe;
F.A.L.;
Falcon;
Falke;
Fama;
Farbio;
Farman;
Farman-Micot;
Farmobil;
FASA;
Fast;
Fasto;
Faugère;
Faun;
Faure;
Favel;
Favorit;
FA;
Fejes;
Felber;
Feldmann;
Fend;
Feng;
Fengshen;
Fenton;
Ferbedo;
Fergus;
Féron;
Ferox;
Ferrari;
Ferrer;
Ferves;
FH;
FIAL;
FIAM;
Fiat;
Fiberfab;
Fibersport;
Fidélia;
FIF;
Filipinetti;
Filoque;
Filtz;
F.I.M.E.R.;
Fina;
Finch;
Fioravanti;
Firefly;
Firestone-Columbus;
Firodia;
Fischer;
Fisher;
Fisker;
Fisson;
Fissore;
Fitch;
Flac;
Flajole;
Flanders;
Fleetbridge;
Flint;
Flintridge-Darrin;
Florentia;
Flying;
FMC;
FMR;
F.N.;
FNM;
FOD;
Fonck;
Fondu;
Fongri;
Fonlupt;
Ford;
Ford-Vairogs;
Forman;
Fornasari;
Forrest;
Forster;
Fossum;
Fostoria;
Foton;
Foucher;
Fouillaron;
Fournier;
Fox;
Foy-Steele;
FPV;
FR;
Frada;
Fram-King;
Framo;
France;
Francon;
Franklin;
Frascini;
Fraser;
Frazen;
Frazer;
Frederickson;
Freestream;
Freia;
Fremont;
Frese;
Frick;
Friedmann-Knoller;
Frisky;
Friswell;
Frontenac;
FSC;
FSM;
FSO;
Fuji;
Fuldamobil;
Fuller;
Füller-Sport;
Fulmina;
Fusi-Ferro;
Gabriel;
Gadabout;
Gaggenau;
Gaillardet;
Gainsborough;
Galba;
Gale;
Gallet;
Galliot;
Galloper;
Galloway;
Galy;
GAM;
Gamage;
Gamma;
Ganz;
G.A.R.;
Garbaty;
Gardner;
Gardner-Douglas;
GAS;
Gas-au-Lec;
Gasi;
Gaslight;
Gatso;
Gatter;
Gauthier;
Gautier;
Gautier-;ehrlé
Gaylord;
Gazelle;
GB;
Geely;
Geering;
Geha;
Gelria;
Gem;
GEM;
General;
Génestin;
Geneva;
Geo;
Georges;
GEP;
Gepard;
Gerald;
Gérard;
Germain;
German;
G-Force;
Ghia;
Giannini;
Gibbons;
Gibbs;
Gideon;
Giesberger;
Gigliato;
Gignoux;
Gilbern;
Gilbert;
Gilburt;
Gilchrist;
Gilda;
Gill;
Gillet;
Gillet-Forest;
Gilyard;
Ginetta;
Giocattolo;
Gitane;
Gladiator;
Glas;
Glascar;
Glassic;
Glasspar;
Glen;
Glide;
Globe;
Glover;
GM;
GM-AvtoVAZ;
GMC;
G.N.;
Gnom;
Gnome;
Gnôme;
Gobron;
Gobron-Brillié;
Godiva;
Goff;
Goggomobil;
Goliath;
Gonow;
Goodchild;
Goodyear;
Gordano;
Gordon;
Gordon-Keeble;
Göricke;
Görke;
Gorm;
Goujon;
Grade;
Gräf;
Grahame-;hite
Graham-Paige;
Gramm;
Gramme;
Grandeur;
Great;
Grecav;
Grégoire;
Gregory;
Grenville;
Grewe;
Greyhound;
Gridi;
Griffith;
Griffon;
Grinnall;
Grofri;
Grouesy;
G.R.P.;
Gryff;
GSM;
GTA;
GTM;
Guangzhou-Honda;
Guangzhou-Peugeot;
Guerraz;
Guerry;
Guildford;
Guilick;
Guillierme;
Guldstrand;
Gumpert;
Gurgel;
Gutbrod;
Guy;
Guyot;
G.;.K.
Gwynne;
Haargaard;
Hackett;
Hadfield-Bean;
Hafei;
HAG;
Hagea-Moto;
HAG-Gastell;
Haima;
Halladay;
Hallamshire;
Hamilton;
Hammond;
Hampton;
Hands;
Hanjiang;
Hanomag;
Hanover;
Hansa;
Hansa-Lloyd;
Hanzer;
Harbin;
Hariscott;
Harper;
Harris;
Harris-Léon;
Hartmann;
Has;
Hataz;
Hauser;
Hautier;
Haw;
HA;A
Hawk;
Hayden;
Haynes;
Haynes-Apperson;
HB;
HCCT;
HCE;
HE;
Healey;
Hedea;
Heibao;
Heim;
Heine-Velox;
Heinis;
Heinkel;
Helbé;
Helios;
Hellas;
Helo;
Helvetia;
Hennessey;
Henney;
Henriod;
Henry;
Hentschel;
Hérald;
Herbert;
Hercules;
Hermes-Simplex;
Heron;
Herreshoff;
Heybourn;
HFG;
Hidien;
Highgate;
Hildebrand;
Hill;
Hillman;
Hinde;
Hindustan;
Hino;
Hinstin;
Hispano-Alemán;
Hispano-Suiza;
Hisparco;
Hi-Tech;
HK;
HL;
HMC;
HMV;
Hodgson;
Hoffmann;
Holden;
Holdsworth;
Holland;
Hollier;
Holsman;
Holtzer-Cabot;
Hommell;
Honda;
Hongqi;
Hooper-Crailville;
Hoosier;
Hoppenstand;
Horag;
Horbick;
Horch;
Horley;
Hornet;
Horstmann;
Hotchkiss;
Hotchkiss-Grégoire;
Hotzenblitz;
Houlberg;
Howard;
Howett;
HP;
H.R.G.;
Hrubon;
HSM;
HSV;
H.T.;
HuangHai;
Huascar;
Huatai-Hyundai;
Huayang;
Hudlass;
Hudson;
Huffit;
Hugot;
Hulas;
Hulme;
Humber;
Hummer;
Humming;
Hummingbird;
Humphris;
Hunt;
Hupmobile;
Hupp-Yeats;
Hurlincar;
Hurst;
Hurtu;
Hüttis;
Hutton;
Hydramotive;
Hyundai;
I.A.M.E.;
Ibis;
Ideal;
Iden;
IFA;
IKA;
Ilford;
Iljin;
IMOSA;
IMP;
Imperia;
Imperial;
Impetus;
Imza;
Indio;
Induco;
Induhag;
Infiniti;
Innocenti;
Innotech;
Innovech;
Inokom;
INSTITEC;
Inter;
Intermeccanica;
International;
Interstate;
Intrepid;
Invicta;
Iota;
Ipe;
Ipsi;
Iran;
Iris;
Isdera;
Iso;
ISO;
Isotta;
Ispano-Francia;
Isuzu;
Itala;
Iveco;
Ivel;
IVM;
Izaro;
IZh;
Izuogi;
Jack;
Jackson;
Jacquemont;
Jacquot;
JAG;
Jago;
Jaguar;
Jakovlev;
Jalta;
James;
Jan;
Janémian;
Janoir;
Janvier;
Jappic;
Jarc;
Jawa;
Jaxon;
JB;
JBM;
JBR;
JBS;
JDM;
Jean;
Jeanperrin;
Jeantaud;
Jeep;
Jeepney;
Jeffrey;
Jehle;
Jenard;
Jennings;
Jensen;
Jensen-Healey;
Jetcar;
Jetmobile;
Jewel;
Jewell;
JG;
Jianghuai;
Jiangling;
JiangNan;
Jiangxi;
Jidé;
Jie;
Jilin;
Jimenez;
Jinbei;
Jinlei;
Jiotto;
John;
Johnson;
Johnsonmobile;
Jomar;
Jones;
Jonway;
Jonz;
Jordan;
Jösse;
Joswin;
Jou;
Jouffret;
Jourdain;
Jousset;
Jouvie;
Jowett;
JP;
JPL;
Juhö;
Julien;
Junior;
Juskov;
Justicialista;
Juwel;
JVA;
K-1;
K.A.C.;
Kaha;
Kaiser;
Kalmar;
Kalmer;
K.A.N.;
Kantanka;
Kapi;
Karabag;
Karsan;
KA;
KCC;
Kearns;
Keen;
Keinath;
Keller;
Keller-Kar;
Kelmark;
Kendall;
Kennedy;
Kenter;
Kersting;
Kestrel;
Kevah;
KE;
Kewet;
Kia;
Kiddy;
Kieft;
Killeen;
KIM;
King;
Kingsbury;
Kissel;
Klaus;
Kleiber;
Kleiner;
Kleinschnittger;
Kliemt;
Kline;
Klingenberg;
Knap;
Knight;
Knöllner;
Knox;
Knudson;
Kobold;
Koch;
Koco;
Koechlin;
Koenigsegg;
Koller;
Kombat;
Komet;
Komnick;
Kondor;
Konela;
Korn;
Korte;
Körting;
Korvensuu;
Kover;
Krajan;
KRC;
Krejbich;
Krieger;
Krim-Ghia;
Krit;
Kroboth;
Krupkar;
Kruse;
KTM;
Kühlstein;
Kühn;
Kurek;
Kurtis;
L;
La;
Labor;
Lacoba;
Lacoste;
Lacour;
Lacre;
LAD;
Lada;
Laetitia;
LaFayette;
Lafitte;
Lagonda;
Laigle;
Lamar;
Lambert;
Lambert-Herbert;
Lamborghini;
Lammas-Graham;
Lanchester;
Lancia;
Land;
Landgrebe;
Laraki;
L’Ardennaise;
Larsen;
LaSalle;
Laspougeas;
Lauer;
Laurence-Jackson;
Laurent;
Laurin;
L’Automobile;
L’Automotrice;
L’Autovapeur;
Lawil;
LB;
Le;
Leader;
Lea-Francis;
Lebedj;
Leblanc;
LEC;
Lecoy;
Leda;
Ledl;
Legrand;
Legros;
Leichtauto;
Leidart;
Leifa;
L’Élégante;
Lenham;
Lenox;
Léo;
Léon;
Leonard;
Leopard;
Lepape;
Lespinasse;
Lesshaft;
Lessner;
Lester;
Leutner;
Levenn;
Lewis;
Lexington;
Lexus;
Ley;
Leyat;
Leyland;
Liaoning;
Libelle;
Libéria;
Liberty;
Lidovka;
Lidtke;
Liebao;
Lifan;
Light;
Lightburn;
Ligier;
Lila;
Lincoln;
Lindcar;
Lindsay;
Lington;
Linon;
Lion-Peugeot;
Lipscomb;
Lipsia;
Lister;
Little;
Liver;
Lloyd;
LM;
LMB;
LMX;
Lobini;
Locomobile;
Locost;
Locus;
Locust;
Loeb;
Lohner;
Lohr;
Loidis;
Lola;
Lomax;
Lombard;
Lombardi;
Longtin;
Lonsdale;
Loreley;
Loremo;
Lorraine;
Lorraine-Dietrich;
LORYC;
Lost;
Lotec;
Lothian;
Lotis;
Lotus;
Louet;
Louis;
Loyd-Lord;
Lozier;
L.S.D.;
LTI;
LuAZ;
Luc;
Lucar;
Lucien;
Lufbery;
Lugly;
LUIS;
Lunant;
Lurquin-Coudert;
Lutèce;
Lu;e
Lu;o
Lux;
LUXGEN;
Luxior;
Lynx;
M.A.;
Mada;
Madou;
MAF;
MAG;
Magali;
Magnet;
Magnetic;
Mahindra;
Maibohm;
Maico;
Maiflower;
Maillard;
Maja;
Majestic;
Majola;
Major;
Malaxa;
Malcolm;
Malcolm-Jones;
Malevez;
Malicet;
Malliary;
Malvernia;
Manderbach;
Mannesmann;
Manon;
Manta;
Marander;
Marathon;
Marauder;
Marbais;
Marchand;
Marcos;
Marcus;
Marden;
Marendaz;
Marguerite;
Marion;
Marion-Handley;
Marketeer;
Marketour;
Markette;
Marland;
Marlborough;
Marlborough-Thomas;
Marlei;
Marlin;
Marmon;
Marot-Gardon;
Marquez;
Marquis;
Marr;
Mars;
Marseal;
Marseel;
Marshall;
Marshall-Arter;
Marsonetto;
Marta;
Marti;
Martin;
Martinette;
Martini;
Maruti;
Marvel;
Mascot;
Mascotte;
MASE;
Maserati;
Mass;
Mastretta;
Matchless;
Matford;
Mathieu;
Mathis;
Matra;
Matra-Simca;
Matthey;
Maudslay;
Maurer;
Maurer-Union;
Mauser;
Mauve;
MÁVAG;
MAVA-Renault;
Maverick;
Max;
Maxim;
Maxim-Goodridge;
Maxwell;
Maxwell-Briscoe;
Maxwerke;
Maybach;
Mayfair;
Mayrette;
Maytag-Mason;
Mazda;
MB;
M.C.A.;
McCandless;
McCurd;
McFarlan;
McKenzie;
McLaren;
McLaughlin;
McLaughlin-Buick;
MCV;
Méan;
MEBEA;
Mecca;
Medea;
Medinger;
Mega;
Megy;
Meiwa;
Mekong;
Melen;
Meling;
Melkus;
Ménara;
Mendip;
Menley;
Méray;
Mercedes;
Mercedes-Benz;
Mercer;
Mercury;
Merkur;
Merlin;
Merry;
Merz;
Messerschmitt;
Messier;
Métallurgique;
Meteor;
Meteorite;
Metropolitan;
Metro-Tyler;
Metz;
Meyers;
Meynier-Legros;
Meyra;
MG;
MGP;
Mia;
Miari;
Michaelson;
Michalak;
Michel;
Micro;
Microcar;
Micron;
Midas;
Midget;
Miele;
Miesse;
Mieusset;
Mignorette;
Mignorette-Luap;
Mikromobil;
Mikrus;
Milburn;
Mildé;
Mildé-Gaillardet;
Miller;
Millot;
Minerva;
Mini;
Minicar;
Minijem;
Minimus;
Miolans;
Mipal;
Mirda;
Mitchell;
Mitsubishi;
Mitsuoka;
Mi-Val;
MK;
MK-GROUP;
MLB;
MLT;
MMB;
M.M.C.;
MNR;
Mobil;
Mobile;
Mochet;
Möckwagen;
Mohs;
Mölkamp;
Moll;
Molla;
Molline;
Molline-Knight;
Mom;
Monarch;
Monet;
Monica;
Monitor;
Monnier;
Monos;
Monotrace;
Monte;
Monteverdi;
Montier;
Moon;
Mops;
Morano-Marguerite;
Morattab;
Morel;
Moretti;
Morgan;
Morisse;
Morris;
Mors;
Moskwitsch;
Mosler;
Mot;
Mota;
Motobloc;
Motor;
Motorette;
Mouette;
Mourre;
Moveo;
Mozota;
MS;
MSL;
MT;
Mullen;
Multi;
Multicar;
Multiplex;
Munguía;
Muntz;
Murad;
Murena;
Mustad;
Mustang;
Mutel;
MVM;
M;D
Mytholm;
N.;
n2a;
Nacional;
Nacke;
Nafa;
N.A.G.;
Nagant;
Namco;
Nameless;
NAMI;
Nancéienne;
Napier;
Napoleon;
Nardi;
Nardini;
Nash;
Nasr;
NATI;
National;
Navajo;
N.A.;.
Naza;
Nazarro;
NB;
NEC;
Nègre;
Neiman;
Nemalette;
Neorion;
Nesselsdorf;
Netam;
Neumann-Neander;
New;
Newey;
New-Map;
Newton;
Niclausse;
Niesner;
Nike;
Nissan;
Nitta;
N.J.;
NmG;
Nobel;
Noble;
Noël;
Noma;
Nomad;
Nordenfelt;
Norfolk;
Noris;
Norma;
Norris;
Norsk;
North;
Northern;
Norwalk;
Nota;
Nova;
NP;
NSU;
NSU-Fiat;
Nufmobil;
Nug;
Nu-Klea;
Nyayo;
Nysa;
Oakland;
Obvio!;
Obwaller;
Ockelbo;
Octo;
Officine;
Ogle;
Ogren;
Ohio;
Ohta;
Oka;
OKA;
Old;
Olds;
Oldsmobile;
Oltcit;
OM;
Omega;
Oméga;
Omikron;
Omnia;
Omnobil;
Onfray;
Onnasch;
OP;
Opel;
Open;
O.P.E.S.;
Opperman;
Oppermann;
Optimal;
Orca;
Orel;
Orial;
Orient;
Orix;
Orleans;
Orlo;
Orpington;
Oryx;
OSCA;
OSI;
Osterfield;
O.T.I.;
Otosan;
Otto;
Ours;
Ouzou;
Overland;
O-;e-Go
Owen;
P.;
Packard;
Pagani;
Paige;
Palladium;
Palmeri;
Palmer-Singer;
Palmerston;
Pan-Car;
Panda;
Panhard;
Panoz;
Panther;
Panthère;
Pantz;
Paragon;
Paramount;
Parant;
Parent;
Parent-Lacroix;
Parisienne;
